text,id
"While indolent lymphomas are generally not curable (similar in some ways to diabetes, which is not curable but manageable), patients can potentially live a long time with these types of lymphomas because they tend to respond well to treatment and can remain in remission for many years (even decades). Although these lymphomas are slow growing, they tend to be more widespread at diagnosis than aggressive lymphomas. Over time, some indolent lymphomas may ""transform"" or develop into aggressive lymphomas.
",30
"The Bureau continued surveillance on Japanese Americans throughout the war, conducting background checks on applicants for resettlement outside camp, and entering the camps (usually without the permission of War Relocation Authority officials) and grooming informants to monitor dissidents and ""troublemakers."" After the war, the FBI was assigned to protect returning Japanese Americans from attacks by hostile white communities.
",31
"The word comes from the French verb ""confire"" (to preserve), which in turn comes from the Latin word (""conficere""), meaning ""to do, to produce, to make, to prepare"". The French verb was first applied in medieval times to fruits cooked and preserved in sugar. Fruit confit are candied fruit (whole fruit, or pieces thereof) preserved in sugar. The fruit must be fully infused with sugar, to its core; larger fruit take considerably longer than smaller ones to candy.
",32
"On June 20, 1951, Hoover expanded the program by issuing a memo establishing a ""uniform policy for the handling of the increasing number of reports and allegations concerning present and past employees of the United State Government who assertedly [sic] are sex deviates."" The program was expanded to include non-government jobs. According to Athan Theoharis, ""In 1951 he [Hoover] had unilaterally instituted a Sex Deviates program to purge alleged homosexuals from any position in the federal government, from the lowliest clerk to the more powerful position of White house aide.""
",33
" The following is a list of properties and districts on the National Register of Historic Places in Cumberland County, North Carolina. Some are listed as part of the ""Fayetteville MRA"", which means they were part of a multiple property submission, also known as a ""Multiple Resource Area."" Most of the properties and districts in the list include latitude and longitude coordinates.
",34
"NWO Code 9155.00 In any **INTERNATIONAL U.S. OPERATIONS** public and/or private arena, any such citizen associated with the **INTERNATIONAL U.S. OPERATIONS** shall not smoke for any reasons. Smokers whom belong to other citizens shall be in violation for smoking in the presence associated with any **INTERNATIONAL U.S OPERATIONS** citizen and shall not smoke in public and/or in public areas and/or locations where **INTERNATIONAL U.S. OPERATIONS** citizens are present and/or could be present and/or will be present.
",35
"Confit country is divided roughly into regions where one type of meat predominates the confit preparations. Goose confit is associated with the Béarn and Basque regions with their classic specialties of cassoulet and garbure, hearty and earthy dishes of confit and beans. Saintonge and Brantôme feature duck confit, often with potatoes and truffles. Non-waterfowl meats are frequently treated to the confit process, but they are not classically considered true confits.
",36
" The chloroplast NADH dehydrogenase F (""ndh""F) gene is found in all vascular plant divisions and is highly conserved. Its DNA fragment resides in the small single-copy region of the chloroplast genome, and is thought to encode a hydrophobic protein containing 664 amino acids and to have a mass of 72.9 kDa. The ""ndh""F fragment has been a very useful tool in phylogenetic reconstruction at a number of taxonomic levels.
",37
"Any person acquiring **I** nformation **T** echnology ( **IT** ) information and/or a **H** uman **E** xtra **S** ensory **P** erception **E** nhancement ( **HESPE** ) communication thread in an unauthorized manner is in violation associated with this code. It is prohibited to possess such information if in fact the holder is not the intended party designated for possession.
",38
"On May 27, 1953, Executive Order 10450 went into effect. The program was expanded further by this executive order by making all federal employment of homosexuals illegal. On July 8, 1953, the FBI forwarded to the U.S. Civil Service Commission information from the sex deviates program. In 1977–1978, 300,000 pages, collected between 1930 and the mid-1970s, in the sex deviates program were destroyed by FBI officials.
",39
"These lymphomas include four types: (1) extranodal marginal zone lymphoma (ENMZL) (sometimes referred to as mucosa-associated lymphoid tissue [MALT]), occurring outside the lymph system; (2) nodal, occurring within the lymph nodes; (3) splenic (splenic marginal zone lymphoma [SMZL]), occurring mostly in the spleen and blood; (4) skin-associated lymphoid tissue-related (SALT) B-cell lymphoma is also considered a form of ENMZL.
",40
" The Mihai Vodă Monastery, founded by Mihai Viteazul, is one of the oldest buildings in Bucharest. It was built in 1591, surrounded by stone walls, similar to a fortress. The monastery buildings served multiple purposes over time such as residence of the country's leaders, military hospital, medical school and the site of the National Archives of Romania. The monastery was an important archeological site; inside the monastery yard used to be a Dacian archeological site, more than 3000 years old, where old pottery and other relics were found.
",41
" I.Sat (contraction of the Spanish phrase ""Imagen Satelital"", which means ""Satellite image"") is an Argentine cable television channel owned by WarnerMedia International. It airs movies, series, music and shows focused on people aged 18 to 39. It is headquartered in Buenos Aires, Argentina. It is broadcast on the satellite Intelsat 21 and is broadcast by most cable television companies in Argentina, Brazil, Bolivia, Chile, Colombia, Ecuador, Mexico, Panama, Paraguay, Peru, Uruguay, and Venezuela.
",42
"The channel has a dedicated feed for Argentina, Uruguay and Paraguay, and until November 2012, a dedicated feed for Brazil, which is now covered by the channel's pan-regional feed. Until 2007, the channel was owned by ""Claxson Interactive Group Latin America & Iberia"" (which was a subsidiary of the Venezuelan-based Grupo Cisneros) but that year the channel, along with Retro and Space, is bought by Turner Broadcasting System.
",43
"NWO Code 10980.2 Billing and/or charging, debiting ones account and/or causing for the extraction associated with currency from someone for a nonexistent debt and/or a debt they did not create and/or a debt created by an error caused and/or created by another (person, person(s) and/or corporation(s) and/or organization(s)), is a violation associated with this code, subject to correction(s). NWO Code 10980.3 The _U.S.
",44
"NWO Code 10980.4 Convincing or coercing persons into compensated assault, rape and or involuntarily allowing unwanted sexual and/or other acts by utilizing hypnosis, brain washing and/or other techniques associated with controlling the mental cohesiveness associated with individual and/or mass **INTERNATIONAL US. OPERATIONS** populations is a violation associated with this code, subject to correction.
",45
"Today the Kaiserkeller is an alternative Rock Club that belongs to the ""Große Freiheit 36"".
",46
" The device mapper is a framework provided by the Linux kernel for mapping physical block devices onto higher-level ""virtual block devices"". It forms the foundation of the logical volume manager (LVM), software RAIDs and dm-crypt disk encryption, and offers additional features such as file system snapshots. Device mapper works by passing data from a virtual block device, which is provided by the device mapper itself, to another block device. Data can be also modified in transition, which is performed, for example, in the case of device mapper providing disk encryption or simulation of unreliable hardware behavior.
",47
"Both of these two userspace components have their source code maintained alongside the LVM2 source. Functions provided by the device mapper include linear, striped and error ""mappings,"" as well as crypt and multipath ""targets."" For example, two disks may be concatenated into one logical volume with a pair of ""linear"" mappings, one for each disk. As another example, ""crypt"" target encrypts the data passing through the specified device, by using the Linux kernel's Crypto API.
",48
"Most patients are 30 to 40 years of age at diagnosis, and the disease is more common in women. Symptoms include superior vena cava syndrome (compression of the vena cava vein that causes swelling of the face and arms associated with shortness of breath), fever, weight loss, and night sweats. PMBCL is distinct from DLBCL based on genetic profiling, and may resemble Hodgkin lymphoma. Patients with PMBCL usually have a better prognosis than those with DLBCL, with most patients being cured.
",49
"The following mapping targets are available: The following Linux kernel features and projects are built on top of the device mapper:
",50
"Cl-PAHs in the environment are strongly susceptible to the effects of gas/particle partitioning, seasonal sources, and climatic conditions. Chlorinated polycyclic aromatic hydrocarbons are generated by combustion of organic compounds. Cl-PAHs enter the environment from a multiplicity of sources and tend to persist in soil and in particulate matter in air. Environmental data and emission sources analysis for Cl-PAHs reveal that the dominant process of generation is by reaction of PAHs with chlorine in pyrosynthesis.
",51
"Wakefield played his first leading role in a feature film in ""The Black Balloon"" as Thomas Mollison which led to a nomination for Best Actor by the Australian Film Institute and the Australian Film Critics Circle. The film opened on 6 March 2008 in Australia after premiering at the Berlin International Film Festival in Germany, where it received the Crystal Bear as the best feature-length film in the ""Generation 14plus"" category. As a filmmaker, Wakefield co-wrote and directed the short film ""A Man Walks Into a Bar"" which was a finalist at the 2013 Tropfest International Short Film Festival in Sydney.
",52
"Some Cl-PAHs have structural similarities to dioxins, they are suspected of having similar toxicities. These types of compounds are known to be carcinogenic, mutagenic, and teratogenic. Toxicological studies have shown that some Cl-PAHs possess greater mutagenicity, aryl-hydorcarbon receptor activity, and dioxin-like toxicity than the corresponding parent PAHs. The relative potency of three ring Cl-PAHs was found to increase with increasing degree of chlorination as well as with increasing degree of chlorination.
",53
"Credit Union_ allowing currency transfer for said compensation to said **I** nformation **T** echnology ( **IT** ) agents utilizing the **CREDCHIT** transfer system.
",54
"NWO Code 10981.4 Fraudulently using , copying, switching and/or acquiring another persons identity and/or intentionally framing and/or causing to make and/or making an innocent person look like a violator by switching identity two traits is a violation associated with this code, subject to correction.
",55
"Cl-PAHs demonstrate a high enough toxicity to be a potential health risk to human populations that come into contact with them. One of the well-established mechanisms by which chlorinated polycyclic aromatic hydrocarbons can exert their toxic effects is via the function of the aryl hydrocarbon receptor (AhR). The AhR-mediated activities of Cl-PAHs have been determined by using yeast assay systems. Aryl Hydrocarbon Receptor (AhR) is a cytosolic, ligand-activated transcription receptor. Cl-PAHs have the ability to bind to and activate the AhR.
",56
"Most patients are middle-aged to elderly persons and are diagnosed with advanced stage disease. Symptoms include high fever, night sweats, skin rash, and some types of autoimmune disorders, such as autoimmune hemolytic anemia (AIHA) and immune thrombocytopenia (ITP). As a result of these autoimmune disorders (ie, immune system does not recognize self), the body's immune system destroys its own cells or tissues, such as red blood cells (in the case of AIHA) or platelets (in the case of ITP).
",57
"The services the lab conducts include ""Chemistry"", ""Combined DNA Index System"" (CODIS), ""Computer Analysis and Response"", ""DNA Analysis"", ""Evidence Response"", ""Explosives"", ""Firearms and Tool marks"", ""Forensic Audio"", ""Forensic Video"", ""Image Analysis"", ""Forensic Science Research"", ""Forensic Science Training"", ""Hazardous Materials Response"", ""Investigative and Prospective Graphics"", ""Latent Prints"", ""Materials Analysis"", ""Questioned Documents"", ""Racketeering Records"", ""Special Photographic Analysis"", ""Structural Design"", and ""Trace Evidence"".
",58
"The FBI units that reside at Quantico are the ""Field and Police Training Unit"", ""Firearms Training Unit"", ""Forensic Science Research and Training Center"", ""Technology Services Unit"" (TSU), ""Investigative Training Unit"", ""Law Enforcement Communication Unit"", ""Leadership and Management Science Units"" (LSMU), ""Physical Training Unit"", ""New Agents' Training Unit"" (NATU), ""Practical Applications Unit"" (PAU), the ""Investigative Computer Training Unit"" and the ""College of Analytical Studies.""
",59
"In fact, most people with the known risk factors never develop NHL, and many people diagnosed with NHL do not have any of these risk factors. However, there does seem to be a correlation between the following risk factors and the development of NHL.
",60
"Carnivore was an electronic eavesdropping software system implemented by the FBI during the Clinton administration; it was designed to monitor email and electronic communications. After prolonged negative coverage in the press, the FBI changed the name of its system from ""Carnivore"" to ""DCS1000."" DCS is reported to stand for ""Digital Collection System""; the system has the same functions as before. The Associated Press reported in mid-January 2005 that the FBI essentially abandoned the use of Carnivore in 2001, in favor of commercially available software, such as NarusInsight.
",61
"The total cost of having a child in a hospital is can total several thousand dollars, which can be an expensive hurdle depending on an individual's socioeconomic status. Many countries lack the funding required to provide women from low-income households with prenatal care needs. This poses a problem for many women who are uninsured, or do not have access to adequate insurance. For women who are completely uninsured, their only source of prenatal care can be from charities and programs run by public funds, which is not a reliable source of prenatal care that has to be done regularly.
",62
"Under the roof of the CJIS are the programs for the ""National Crime Information Center"" (NCIC), ""Uniform Crime Reporting"" (UCR), ""Fingerprint Identification"", ""Integrated Automated Fingerprint Identification System"" (IAFIS), ""NCIC 2000"", and the ""National Incident-Based Reporting System"" (NIBRS). Many state and local agencies use these data systems as a source for their own investigations and contribute to the database using secure communications. FBI provides these tools of sophisticated identification and information services to local, state, federal, and international law enforcement agencies.
",63
"Infections or other conditions (including other cancers) may also cause some of these symptoms. When Should a Patient Seek Medical Attention? Anyone who has an enlarged lymph node that does not go away within a few weeks and/or persistent symptoms should see a doctor to make sure that lymphoma or another serious condition is not present. A good rule of thumb is to seek medical attention if any of the symptoms listed in Table 2.1 last longer than two weeks, or sooner if the symptoms are harsh enough to impact a person's daily life.
",64
"The Criminal Justice Information Services (CJIS) Division is located in Clarksburg, West Virginia. Organized beginning in 1991, the office opened in 1995 as the youngest agency division. The complex is the length of three football fields. It provides a main repository for information in various data systems.
",65
"There are two contrastive phonemic tones in Telefol, high and low. For example, ""ùlín"" 'club' vs. ""úlìn"" 'planted'. Vowel length only contrasts in initial syllables. However, in initial syllables single and , and and , don't contrast. Syllable structure is . Telefol is a subject–object–verb language. Telefol has a rich aspectual system. Telefol verbs have ""punctiliar"" (momentary/completed) and ""continuative"" stems. Telefol uses a base-27 counting system.
",66
"This is mapped onto the body by counting each of the following: the left pinky to the left thumb (1-5); the wrist, lower arm, elbow, upper arm, and shoulder (6-10); the side of the neck, ear, and left eye (11-13); the nose (14); and similarly on the right side in reverse order, from the right eye to the right pinky (15-27).
",67
" Telefol is a language spoken by the Telefol people in Papua New Guinea, notable for possessing a base-27 numeral system. The Iligimin people also spoke Telefol, but they were defeated by the Telefol proper. Single and represent both their single and long vowels, since they rarely contrast. Single is written intervocalically, and is written intervocalically. Initial is also written with in loan words, e.g. ""Got"" 'God'. and only appear in a few particles and some exclamations. and only appear in a few loans.
",68
"A fine needle aspirate is usually insufficient for an initial accurate diagnosis, but may be acceptable in certain situations of recurring lymphoma (see the section ""What Is a Biopsy?"" on page 36). A pathologist examines a sample from this biopsy under a microscope to see if it contains any lymphoma cells and, if possible, to identify the specific type of lymphoma.
",69
"The practice of using forceps proved to be much more effective and less damaging to the baby. By the 20th century, medicinal drugs were used to treat pregnant women, or to provide them with prenatal care. By the 1950s, women were having given contraceptive pills to begin regulating their hormones and fertility, which effectively allowed couples to have planned pregnancies. By the 21st century, women were being given medication for the induction and augmentation of labor. Treating the ailments of pregnant mothers requires a unique approach, since medicines commonly used may have an adverse effect on the fetus.
",70
"NWO Code 10982.6 Any person whom pays, compensates and/or barters with another intentionally planning on leading Scattlebagging activities in mind is in violation associated with this code, subject to correction. NWO Code 10982.7 Any company that charges double or more and/or charges additional fees that were not agreed by the purchaser and/or user, whom discontinues service(s) until said payments are received is in violation associated with this code, subject to correction.
",71
"The condition leads to an excessive outpouring of the male hormone testosterone during the early part of foetal life. Dark only discovered that she was biologically female at the age of 19. Congenital adrenal hyperplasia is a disorder that affects one in 15,000 births worldwide, with varying degrees of masculinisation. Dark was very badly bullied during her school years.
",72
"Reporting Agency_ officer, agent, executive and/or ' _Public Safety_ ' official may cross streets in any location outside crosswalks when officially pursuing any objective associated with official agency duties. NWO Code 10983.5 Utilizing remote channeling techniques and/or other higher degree power, authority and/or abilities in any negative and/or harmful manner is a violation associated with **H** uman **E** xtra **S** ensory **P** erception **E** nhancement ( **HESPE** ) regulatory control systems.
",73
"Since about 93% of the data submitted to the FBI is in this format, the UCR stands out as the publication of choice as most states require law enforcement agencies to submit this data. Preliminary Annual ""Uniform Crime Report"" for 2006 was released on June 4, 2006. The report shows violent crime offenses rose 1.3%, but the number of property crime offenses decreased 2.9% compared to 2005. The National Incident-Based Reporting System (NIBRS) crime statistics system aims to address limitations inherent in UCR data. The system is used by law enforcement agencies in the United States for collecting and reporting data on crimes.
",74
"Local, state, and federal agencies generate NIBRS data from their records management systems. Data is collected on every incident and arrest in the Group A offense category. The Group A offenses are 46 specific crimes grouped in 22 offense categories. Specific facts about these offenses are gathered and reported in the NIBRS system. In addition to the Group A offenses, eleven Group B offenses are reported with only the arrest information. The NIBRS system is in greater detail than the summary-based UCR system. , 5,271 law enforcement agencies submitted NIBRS data.
",75
"That amount represents 20% of the United States population and 16% of the crime statistics data collected by the FBI. eGuardian is the name of an FBI system, launched in January 2009, to share tips about possible terror threats with local police agencies. The program aims to get law enforcement at all levels sharing data quickly about suspicious activity and people. eGuardian enables near real-time sharing and tracking of terror information and suspicious activities with local, state, tribal, and federal agencies.
",76
"These specialists identify and classify the cancer cells by looking at their shape and size and how they are grouped in samples from lymph nodes and bone marrow in conjunction with additional tests, such as immunophenotyping, cytogenetic analysis, and/or molecular studies. What Is Immunophenotyping? Immunophenotyping is a process used to distinguish between different types of cells (for example, between normal lymphocytes and lymphoma/leukemia cells) by detecting small identifying substances, cell ""markers"" or ""antigens,"" expressed in or on the cells.
",77
"Utilizing the same system for covering the ill effects, Scattlebagging acts and/or violations committed by another co conspirator is a double violation associated with this code section. Violators subject to _U.S. Reporting Agency_ correction. NWO Code 10984.1 Intentionally distracting another person, person(s), group, organization, family and/or other collective with intent associated with preventing said person, group and/or entity from acquiring an objective, objectives, goal and/or other intentional malice is a violation, subject to prosecution.
",78
"These cell markers are antigens that are detected using special antibodies, which lock onto the antigens like a key and lock, made and chemically modified in the laboratory so they will show color or emit light when they stick to their corresponding markers. Immunophenotyping Upon binding to specific antigens, the antibodies can be detected by chemicals so the markers appear as different colors and are studied under a microscope using immunohistochemistry analysis.
",79
"NWO Code 10984.5 Utilizing negative patterned energy shields created by bisexually active organizational Agency networks designed for preventing people from seeing themselves and/or vice versa is, by this ordinance code, a violation for all local, federal, city, state, country, territorial and/or global organizations. Violators subject to correction. NWO Code 10984.6 Any person paid to complete, finalize and/or terminate a job, responsibility and/or predetermined objective, by this code must complete said job, objective.
",80
"Any such breach in such predetermined agreement shall be recognized as a violation, subject to correction, fine and/or prosecution. NWO Code 10984.7 Threatening ones dynamic currency, safety and/or living security in order to maintain a working as well as effectively managed relation between two people is a violation associated with this code section. Violators subject to correction and/or fine. NWO Code 10984.8 Confiscating, attempting any such confiscation and/or withholding any official **INTERNATIONAL U.S. OPERATIONS** and/or _U.S.
",81
"However, Rahm Emanuel believes that the ongoing case may soon be over, and has stated that the Chicago government is closer than ever to negotiating a proper balance of standards that both parties agree to. The Shakman case helped to greatly reduce the power of political patronage among the Chicago political system and paved the way to reducing it nationwide. Although it is still likely present in politics, it is certainly practiced to a much lesser extent and much more discreetly. Patronage was generally found to be unconstitutional and contrary to the belief in fair and equal elections, employee rights, and the use of public dollars.
",82
"Such violations shall require the sender to correct the error internally and refrain from sending any recurring billing to the targeted party, respectively. NWO Code 10985.0 Regulatory codes are not designed and/or specifically applied to every person, citizen and/or patron. Said regulatory guidelines are subject to code spirit, citizen classification as well as ' _General Rule_ ' application & understanding. This code, as stated herein, shall be applied to all regulatory codes, law, ethical principles as well as social constructs prospectively. NWO Code 10985.
",83
